feature,date,importance
ndvi_t28,2019-06-17,0.04945402751746073
ndvi_t25,2019-06-02,0.047876978596011886
ndvi_t24,2019-05-23,0.037861760193249244
ndvi_t37,2019-08-21,0.0350862790369027
ndvi_t23,2019-05-13,0.03251379836591473
ndvi_t21,2019-04-18,0.029398923453038794
ndvi_t27,2019-06-12,0.029281216339219374
ndvi_t19,2019-03-29,0.028673726734998153
ndvi_t12,2019-01-28,0.028111027222823617
ndvi_t18,2019-03-24,0.02735675106993873
ndvi_t35,2019-08-01,0.026724116170669606
ndvi_t29,2019-06-27,0.026674513084916106
ndvi_t31,2019-07-07,0.026602940615218357
ndvi_t42,2019-09-15,0.026322299438737602
ndvi_t41,2019-09-10,0.02495818255219667
ndvi_t43,2019-09-20,0.023835839864406044
ndvi_t33,2019-07-17,0.023659484869344303
ndvi_t07,2018-11-09,0.0233729305567657
ndvi_t34,2019-07-22,0.023329267827234147
ndvi_t05,2018-10-20,0.02308288700251175
ndvi_t00,2018-09-20,0.022909986095266996
ndvi_t26,2019-06-07,0.02234057486201756
ndvi_t13,2019-02-12,0.02127268624112861
ndvi_t04,2018-10-15,0.020203299489019527
ndvi_t38,2019-08-26,0.019959141415875965
ndvi_t02,2018-10-05,0.01942190404729369
ndvi_t09,2018-12-09,0.01930240464816785
ndvi_t44,2019-09-30,0.019078460290947015
ndvi_t01,2018-09-30,0.01891343942378883
ndvi_t30,2019-07-02,0.018663672696185688
ndvi_t17,2019-03-19,0.017484551820852113
ndvi_t32,2019-07-12,0.01676152142845503
ndvi_t22,2019-05-03,0.016110932090726553
ndvi_t16,2019-02-27,0.016008325352674956
ndvi_t39,2019-08-31,0.015847557264048056
ndvi_t45,2019-10-25,0.015465977943566715
ndvi_t11,2019-01-03,0.014079161873324498
ndvi_t20,2019-04-13,0.013669893627606918
ndvi_t10,2018-12-19,0.013524035717495992
ndvi_t14,2019-02-17,0.013251110614805602
ndvi_t40,2019-09-05,0.013156547329444846
ndvi_t08,2018-11-24,0.01272752718812516
ndvi_t15,2019-02-22,0.011196483789568173
ndvi_t36,2019-08-11,0.007483038792086758
ndvi_t03,2018-10-10,0.0035916494146649228
ndvi_t06,2018-11-04,0.0033991660313035517
