epoch,train_loss,val_sampled_accuracy,val_sampled_macro_f1
1,0.8709379307886063,0.3717376688466475,0.2578841372466522
2,0.40758068256984886,0.5166147138520465,0.3308066935911708
3,0.3129798098845637,0.6061569178738055,0.36492073656041024
4,0.2748332878158073,0.6233319071776379,0.37670742839682425
5,0.23969986358521247,0.6493694354460812,0.38597989638441116
6,0.2040402944712995,0.6747346331723815,0.39127661180307954
7,0.2057319922419288,0.6930301733797852,0.3972940743982878
8,0.1865050850523431,0.6914206548092008,0.3979639367407236
9,0.17256076800445747,0.6844732392070574,0.39026631972549214
10,0.1762925173567431,0.6953120224925127,0.3948412016132841
11,0.1674947839070612,0.6938654931442658,0.3952508892112903
12,0.16194233204424835,0.7139335411445918,0.4020137956020015
13,0.16635874031055423,0.7006906668296559,0.4008341791943039
14,0.14403251856708724,0.7074954668622537,0.40694542096704334
15,0.13962958601274209,0.7204734836908909,0.4058898321093068
16,0.1404890314999217,0.7168673471466699,0.4044400384383131
17,0.14263269436052659,0.7107959986145916,0.40408405847812356
18,0.12408642643753887,0.7187417232035531,0.40789755266755245
19,0.12900499002258342,0.72350915795693,0.40645363639168997
20,0.1276219809925213,0.7271356681539434,0.410443766498903
21,0.11469791822690516,0.7258521280280341,0.40415167411750674
22,0.13053181054445295,0.7248945663468003,0.40551959151815364
23,0.1305697610268585,0.7298453639753071,0.4069989309711745
24,0.11110354035498765,0.7327384226718008,0.4125484851475199
25,0.12180252584821841,0.725057555569138,0.4067677936192155
26,0.11639195709481573,0.734898029867775,0.4131049952919003
27,0.11135090602348081,0.7494448179614123,0.41788679962434544
28,0.11967678294431923,0.7266874477925147,0.4094517495469887
29,0.10542884470438083,0.7281950980991382,0.4101666829009077
30,0.10084581387124714,0.7374039891612167,0.4177951818345044
31,0.11982145278808137,0.7417435772059573,0.4182312252613346
32,0.1098909576316024,0.7274820202514108,0.40728239038272895
33,0.1130189541301006,0.7390338813845935,0.41274919451803205
34,0.11511446459838978,0.7368335268830348,0.41663130604433946
35,0.10238438354601039,0.7559032658965426,0.4209702299825654
36,0.10564273227367055,0.7315567508098527,0.41035362788396584
37,0.1087601133985884,0.742986370026282,0.41868439778226313
38,0.11242209617474355,0.7604058431636208,0.42203761253521366
39,0.099951278219645,0.741132367622191,0.41649654490684557
40,0.10172675056380845,0.7490984658639448,0.4212637731938471
