epoch,train_loss,val_accuracy,val_macro_f1
1,2.9536625182989873,0.036967484176031365,0.017082010912406662
2,2.6210138508767793,0.25508012988373313,0.1299892904807701
3,2.409466873515736,0.4027368358048153,0.17806204426901004
4,2.254415663805875,0.4922077241915935,0.22673323393240358
5,2.1958615201892275,0.40358601804605787,0.19758225545280947
6,2.1004995866255327,0.47001675919136904,0.20060526148200525
7,2.068066271868619,0.4761256340810127,0.23197044988677834
8,1.8936471072110264,0.4476125634081013,0.18905916538915774
9,1.8374810182687007,0.4078955243980906,0.20443642500717257
10,1.8574627096002752,0.6129524607580541,0.2682699040740152
