epoch,train_loss,val_accuracy,val_macro_f1
1,2.9536625182989873,0.036967484176031365,0.017082010912406662
2,2.6210138508767793,0.25508012988373313,0.1299892904807701
3,2.409466873515736,0.4027368358048153,0.17806204426901004
4,2.254415663805875,0.4922077241915935,0.22673323393240358
5,2.1958615201892275,0.40358601804605787,0.19758225545280947
6,2.1004995866255327,0.47001675919136904,0.20060526148200525
7,2.068066271868619,0.4761256340810127,0.23197044988677834
8,1.8936471072110264,0.4476125634081013,0.18905916538915774
9,1.8374810182687007,0.4078955243980906,0.20443642500717257
10,1.8574627096002752,0.6129524607580541,0.2682699040740152
11,1.7446373231483228,0.5727565877089288,0.2609368205286076
12,1.6308813528581099,0.6070343713058702,0.2678452375784698
13,1.6457624218680642,0.5239865926469048,0.25173218772417655
14,1.5799079699949785,0.5030188989809813,0.24190595417854982
15,1.5456552649989272,0.5542092504750932,0.2701951692003337
16,1.4435938416105327,0.6473536937557048,0.28054009068506125
17,1.4711670369812937,0.5988867108590582,0.28625625574561625
18,1.411893530325456,0.5651214293196067,0.2713725424266913
19,1.3831775296818127,0.5520470155172156,0.26248540517291713
20,1.2685454939350937,0.6183879752801927,0.3014937221083825
21,1.268485513600436,0.6452587948345778,0.29763844576598447
22,1.348575619134036,0.5043768423887833,0.23366311454944338
23,1.3210645444465405,0.5344311601250954,0.2676126568732136
24,1.3865256815245657,0.6339425997695611,0.3295999537838978
25,1.2892099329919526,0.5047022998997441,0.2748708845668408
26,1.2834129947604556,0.5578266920049679,0.28265413669242895
27,1.3648280411055593,0.6802136796899549,0.34242354152492727
28,1.204767967715408,0.5432895898487183,0.267068797499388
29,1.1393376841689602,0.6389105029253767,0.33728989629735784
30,1.0572271997278386,0.6391910697451705,0.3166325669828599
31,1.069496259544835,0.3890227296532942,0.21864465566596616
32,1.0560979265155215,0.5446213470200063,0.2867155546610893
33,1.1120659474170569,0.4804875129060737,0.2940589063768063
34,1.1740923541964907,0.6214854329707163,0.33223156570094625
35,1.0116336128928445,0.6281217734815724,0.32186415108581956
36,0.9759369040980483,0.6872278501848,0.3661804845540277
37,0.9582830161759348,0.7194556255517814,0.3725999139186442
38,1.0613811016082764,0.7055058432716336,0.35996814560030493
39,1.0366673614039565,0.6766598333059002,0.40032491452648805
40,0.9164992570877075,0.6457900013467207,0.30907439521811475
